"id","label","cargo","partido","sector","categoria"
1,"Antoniohorvath","Senador","Renovacion Nacional","Coalicion","Politico"
2,"C_Ballesteros_","","","","educacion"
3,"Curvaspoliticas","","","","periodistas"
4,"DiputadoCornejo","Diputado","Partido Democrata Cristiano","Concertacion","Politico"
5,"DocVictorTorres","Diputado","Partido Democrata Cristiano","Concertacion","Politico"
6,"EnriqueAccorsi","Diputado","Partido Por la Democracia","Concertacion","Politico"
7,"ErnestoSilvaM","Diputado","Union Democrata Independiente","Coalicion","Politico"
8,"FelipeSalaberry","Diputado","Union Democrata Independiente","Coalicion","Politico"
9,"FulvioRossiC","Senador","Partido Socialista","Concertacion","Politico"
10,"GAscencio","Diputado","Partido Democrata Cristiano","Concertacion","Politico"
11,"G_Teillier","Diputado","Partido Comunista","Juntos Podemos","Politico"
12,"GiorgioJackson","","","","educacion"
13,"Hugo_Gutierrez_","Diputado","Partido Comunista","Juntos Podemos","Politico"
14,"Joacogodoy","Diputado","Renovacion Nacional","Coalicion","Politico"
15,"JoseMIzquierdo","","","","centro_estudios"
16,"Jovinonovoa","Senador","Union Democrata Independiente","Coalicion","Politico"
17,"LuisLarrain","","","","sociedad civil"
18,"Mangeles21","","","","centro_estudios"
19,"MarceSabat","Diputado","Renovacion Nacional","Coalicion","Politico"
20,"MartaIsasi","Diputado","Independiente","Independiente","Politico"
21,"MiodragDiputado","Diputado","Independiente","Independiente","Politico"
22,"Olanderretche","","","","centro_estudios"
23,"Orrego","","","","Alcalde"
24,"PepaHoffmann","Diputado","Union Democrata Independiente","Coalicion","Politico"
25,"RIVASDIPUTADO","Diputado","Renovacion Nacional","Coalicion","Politico"
26,"RamonFarias","Diputado","Partido Por la Democracia","Concertacion","Politico"
27,"RicardoRaineriB","Ministro","Independiente","Coalicion","Politico"
28,"RojoEdwards","Diputado","Renovacion Nacional","Coalicion","Politico"
29,"S_Iglesias","","","","sociedad civil"
30,"abellolio","","","","centro_estudios"
31,"adeurresti","Diputado","Partido Socialista","Concertacion","Politico"
32,"albertoespina","Senador","Renovacion Nacional","Coalicion","Politico"
33,"allamand","Senador","Renovacion Nacional","Coalicion","Politico"
34,"amorenocharme","Ministro","Independiente","Coalicion","Politico"
35,"arturosquella","Diputado","Union Democrata Independiente","Coalicion","Politico"
36,"axelchri","","","","sociedad civil"
37,"baltolu2010","Diputado","Union Democrata Independiente","Coalicion","Politico"
38,"bprokurica","Senador","Renovacion Nacional","Coalicion","Politico"
39,"camila_vallejo","","","","educacion"
40,"canterosenador","Senador","Independiente","Independiente","Politico"
41,"catalinaparot","Ministro","Renovacion Nacional","Coalicion","Politico"
42,"cbellolio","","","","centro_estudios"
43,"cferes","","","","centro_estudios"
44,"chahuan","Senador","Renovacion Nacional","Coalicion","Politico"
45,"clarroulet","Ministro","Independiente","Coalicion","Politico"
46,"cmerinoc","Ministro","Independiente","Coalicion","Politico"
47,"cmonckeberg","Diputado","Renovacion Nacional","Coalicion","Politico"
48,"conystipicic","","","","periodistas"
49,"crecondo","Diputado","Union Democrata Independiente","Coalicion","Politico"
50,"cschmidtz","Ministro","Independiente","Coalicion","Politico"
51,"deborah_bailey","","","","periodistas"
52,"dip_schilling","Diputado","Partido Socialista","Concertacion","Politico"
53,"diputadasaa","Diputado","Partido Por la Democracia","Concertacion","Politico"
54,"diputadoarenas","Diputado","Union Democrata Independiente","Coalicion","Politico"
55,"diputadocastro","Diputado","Partido Socialista","Concertacion","Politico"
56,"diputadoestay","Diputado","Union Democrata Independiente","Coalicion","Politico"
57,"diputadoleon","Diputado","Partido Democrata Cristiano","Concertacion","Politico"
58,"e_PedroBrowne","Diputado","Renovacion Nacional","Coalicion","Politico"
59,"ejaramilb","Diputado","Partido Por la Democracia","Concertacion","Politico"
60,"enavonbaer","Ministro","Union Democrata Independiente","Coalicion","Politico"
61,"eugeniotironi","","","","centro_estudios"
62,"fbulnes","Ministro","Renovacion Nacional","Coalicion","Politico"
63,"fchahin","Diputado","Partido Democrata Cristiano","Concertacion","Politico"
64,"felipeharboe","Diputado","Partido Por la Democracia","Concertacion","Politico"
65,"felipekast","Ministro","Independiente","Coalicion","Politico"
66,"felipelarrain","Ministro","Independiente","Coalicion","Politico"
67,"fernandopaulsen","","","","periodistas"
68,"fideldiputado","Diputado","Partido Socialista","Concertacion","Politico"
69,"fmorande","Ministro","Independiente","Coalicion","Politico"
70,"frank_sauerbaum","Diputado","Renovacion Nacional","Coalicion","Politico"
71,"gabrielsilber","Diputado","Partido Democrata Cristiano","Concertacion","Politico"
72,"gbeckera","Diputado","Renovacion Nacional","Coalicion","Politico"
73,"giovannidiputad","Diputado","Union Democrata Independiente","Coalicion","Politico"
74,"gonzalomartner","","","","centro_estudios"
75,"gonzalomuller","","","","centro_estudios"
76,"gonzalouriarte","Diputado","Union Democrata Independiente","Coalicion","Politico"
77,"guidogirardi","Senador","Partido Por la Democracia","Concertacion","Politico"
78,"gustavohasbun","Diputado","Union Democrata Independiente","Coalicion","Politico"
79,"hdesolminihac","Ministro","Independiente","Coalicion","Politico"
80,"hernanlarrainf","Senador","Union Democrata Independiente","Coalicion","Politico"
81,"iallendebussi","Senador","Partido Socialista","Concertacion","Politico"
82,"ignaciowalker","Senador","Partido Democrata Cristiano","Concertacion","Politico"
83,"issakortg","","","","Politico"
84,"ivanmoreirab","Diputado","Union Democrata Independiente","Coalicion","Politico"
85,"jacoloma","Senador","Union Democrata Independiente","Coalicion","Politico"
86,"jafontaine","Ministro","Independiente","Coalicion","Politico"
87,"jagalilea","Ministro","Renovacion Nacional","Coalicion","Politico"
88,"jagomez","Senador","Partido Radical Social Democrata","Concertacion","Politico"
89,"jaimegajardo","","","","educacion"
90,"javiermacaya","Diputado","Union Democrata Independiente","Coalicion","Politico"
91,"jbellolio","","","","centro_estudios"
92,"jburgosv","Diputado","Partido Democrata Cristiano","Concertacion","Politico"
93,"jceichholz","","","","centro_estudios"
94,"jgarciaruminot","Senador","Renovacion Nacional","Coalicion","Politico"
95,"jmanalich","Ministro","Independiente","Coalicion","Politico"
96,"jorgeerrazuriz","","","","sociedad civil"
97,"joseantoniokast","Diputado","Union Democrata Independiente","Coalicion","Politico"
98,"jplchile","Senador","Partido Socialista","Concertacion","Politico"
99,"juanlobosk","Diputado","Union Democrata Independiente","Coalicion","Politico"
100,"karlarubilar","Diputado","Renovacion Nacional","Coalicion","Politico"
101,"kenzoasahi","","","","centro_estudios"
102,"lagosweber","Senador","Partido Por la Democracia","Concertacion","Politico"
103,"lautarocarmona","Diputado","Partido Comunista","Juntos Podemos","Politico"
104,"lcruzcoke","Ministro","Independiente","Coalicion","Politico"
105,"lemusdiputado","Diputado","Independiente","Independiente","Politico"
106,"lgolborne","Ministro","Independiente","Coalicion","Politico"
107,"lilyperez","Senador","Renovacion Nacional","Coalicion","Politico"
108,"luislarrainlyd","","","","centro_estudios"
109,"magdalenamatte","Ministro","Union Democrata Independiente","Coalicion","Politico"
110,"marcelobrunet","","","","sociedad civil"
111,"marcelodiazd","Diputado","Partido Socialista","Concertacion","Politico"
112,"marconunez","Diputado","Partido Por la Democracia","Concertacion","Politico"
113,"marcoporchile","L?der","Partido Progresista","Independiente","Politico"
114,"marisolturres","Diputado","Union Democrata Independiente","Coalicion","Politico"
115,"matiaswalkerp","Diputado","Partido Democrata Cristiano","Concertacion","Politico"
116,"mauriciohofmann","","","","periodistas"
117,"maxcolodro","","","","centro_estudios"
118,"mechitasdeclavo","","","","centro_estudios"
119,"memobarros","Diputado","Union Democrata Independiente","Coalicion","Politico"
120,"mfernandaotero","","","","sociedad civil"
121,"mibenitezp","Ministro","Union Democrata Independiente","Coalicion","Politico"
122,"mmlagoscc","","","","centro_estudios"
123,"monicazalaquett","Diputado","Union Democrata Independiente","Coalicion","Politico"
124,"mwaissbluth","","","","educacion"
125,"nmonckeberg","Diputado","Renovacion Nacional","Coalicion","Politico"
126,"orlandodearica","Diputado","Independiente","Independiente","Politico"
127,"pablosimonetti","","","","sociedad civil"
128,"panchodays","","","","centro_estudios"
129,"patriciomelero","Diputado","Union Democrata Independiente","Coalicion","Politico"
130,"patricionavia","","","","centro_estudios"
131,"patriciowalker","Senador","Partido Democrata Cristiano","Concertacion","Politico"
132,"paulfontaineb","","","","sociedad civil"
133,"pepe_auth","Diputado","Partido Por la Democracia","Concertacion","Politico"
134,"pizarrosenador","Senador","Partido Democrata Cristiano","Concertacion","Politico"
135,"pvallespin","Diputado","Partido Democrata Cristiano","Concertacion","Politico"
136,"renesaffirio","Diputado","Partido Democrata Cristiano","Concertacion","Politico"
137,"rhinzpeter","Ministro","Renovacion Nacional","Coalicion","Politico"
138,"robertomendez","","","","centro_estudios"
139,"sebastianpinera","Presidente","Renovacion Nacional","Coalicion","Politico"
140,"senadorRE","Senador","Partido Democrata Cristiano","Concertacion","Politico"
141,"senadornavarro","Senador","Movimiento Amplio Social","Independiente","Politico"
142,"senadorquintana","Senador","Partido Por la Democracia","Concertacion","Politico"
143,"senadortuma","Senador","Partido Por la Democracia","Concertacion","Politico"
144,"soledadalvear","Senador","Partido Democrata Cristiano","Concertacion","Politico"
145,"teoribera","Ministro","","","Politico"
146,"vanrysselberghe","Diputado","Union Democrata Independiente","Coalicion","Politico"
147,"ximenavidal","Diputado","Partido Por la Democracia","Concertacion","Politico"
148,"ximerincon","Senador","Partido Democrata Cristiano","Concertacion","Politico"
